wrkstat,occ,prestige,wrkslf,occ80,prestg80,marital,agewed,divorce,widowed,spocc,sppres,spwrkslf,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,family16,income,rincome,size,polviews,natarms,natfare,eqwlth,russia,japan,england,china,relig,fund,attend,relig16,fund16,sprel,spfund,sprel16,spfund16,racseg,happy,hapmar,health,life,trust,satcity,sathobby,satfam,satfrnd,sathealt,jobinc,jobsec,jobhour,jobpromo,jobmeans,rank,fepol,fecare,abnomore,abpoor,absingle,chldmore,tvhours,memnum,year
1,310,31,2,0,0,1,15,2,0,441,45,2,34,11,97,14,12,0,7,1,1,2,2,2,5,5,10,8,8,4,2,2,1,2,4,1,4,1,1,7,1,1,1,1,1,1,0,2,2,0,0,2,2,1,1,1,1,0,0,0,0,0,0,2,0,2,1,2,2,3,3,83
1,1,57,2,0,0,1,23,2,0,305,48,2,36,16,10,12,14,3,0,1,1,1,1,6,2,1,12,12,7895,0,3,3,3,7,1,3,9,3,3,2,3,3,3,3,3,3,0,2,2,0,0,0,3,2,2,2,2,0,0,0,0,0,7,2,3,1,1,1,2,2,2,83
1,271,51,2,0,0,5,0,0,0,0,0,0,27,16,97,16,97,3,7,3,7,1,1,6,2,5,12,12,7895,2,3,3,4,4,2,3,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,1,2,3,3,1,1,0,0,0,0,0,0,2,0,1,1,1,1,2,3,83
5,391,41,2,0,0,2,25,2,0,0,0,0,71,11,98,12,97,0,0,1,7,2,1,6,2,1,13,0,7895,0,8,3,1,9,5,5,5,3,3,1,3,3,0,0,0,0,0,2,0,0,0,0,4,4,1,1,5,0,0,0,0,0,99,2,1,2,2,2,2,2,1,83
7,343,45,2,0,0,2,21,2,0,0,0,0,69,12,12,98,97,1,0,1,7,2,1,6,2,1,8,4,7895,0,2,2,1,9,1,0,7,3,3,1,3,3,0,0,0,0,0,2,0,0,0,0,4,3,6,4,3,0,0,0,0,0,7,2,2,1,1,1,2,2,0,83
7,321,36,2,0,0,1,24,2,0,280,34,2,61,12,10,98,12,1,0,0,1,2,1,6,2,1,12,0,7895,3,3,2,4,9,7,2,7,3,3,3,3,3,3,3,3,3,0,2,2,0,0,2,3,4,2,2,4,0,0,0,0,0,0,2,0,1,1,1,2,3,1,83
1,270,44,2,0,0,3,26,0,0,0,0,0,64,12,97,98,97,1,7,8,7,2,1,6,2,7,11,11,7895,0,8,3,5,9,-1,-1,-1,3,3,0,3,3,0,0,0,0,0,2,0,0,0,0,3,5,7,2,1,0,0,0,0,0,1,1,1,1,1,1,2,1,1,83
1,764,17,2,0,0,5,0,0,0,0,0,0,33,12,12,12,97,1,1,1,7,1,2,6,2,1,12,10,7895,1,3,1,4,5,0,3,0,4,3,1,1,3,0,0,0,0,0,2,0,0,0,1,1,1,5,6,4,0,0,0,0,0,0,2,0,1,1,2,1,0,3,83
1,704,28,2,0,0,1,30,2,0,382,36,2,54,12,97,99,99,1,7,9,9,1,2,6,2,5,12,12,7895,0,2,3,2,4,0,5,0,9,9,0,1,1,1,1,1,1,0,3,3,0,0,0,2,2,6,5,1,0,0,0,0,0,7,1,4,2,2,2,2,2,1,83
1,1,57,2,0,0,1,33,2,0,355,45,2,38,14,97,14,15,2,7,2,1,1,2,6,2,5,12,10,7895,2,2,3,4,2,2,3,2,4,3,0,1,1,1,2,1,2,0,2,2,0,0,1,1,2,2,2,1,0,0,0,0,0,0,2,0,1,1,1,1,1,2,83
